Timestamp,Username,IP,Status,User-Agent
[2025-04-18 01:14:24],admin,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 01:15:12],user1,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 01:15:30],admin,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 01:15:39],yath,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 01:18:36],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:18:36],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:18:36],admin,127.0.0.1,SUCCESS,"""python-requests/2.32.3"""
[2025-04-18 01:18:38],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:18:38],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:18:38],admin,127.0.0.1,SUCCESS,"""python-requests/2.32.3"""
[2025-04-18 01:56:26],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:27],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:27],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:27],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:28],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:28],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:28],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:28],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:29],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:29],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:29],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:30],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:30],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:30],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:31],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:31],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:31],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:32],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:32],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:32],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:32],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:33],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:33],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:33],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 01:56:34],admin,127.0.0.1,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:08:14],admin,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 02:08:26],admin,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 02:08:43],admin,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 02:08:53],admin,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 02:09:30],user1,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 02:09:39],user1,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 02:23:04],admin,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 02:23:15],guest,127.0.0.1,SUCCESS,"""Mozilla/5.0"
[2025-04-18 02:23:21],guest,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 02:23:29],admin,127.0.0.1,FAILURE,"""Mozilla/5.0"
[2025-04-18 02:28:18],admin,10.0.0.22,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:18],admin,10.0.0.22,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:18],admin,172.16.0.5,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:18],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:18],admin,203.0.113.99,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:19],admin,203.0.113.99,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:19],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:19],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:19],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:20],admin,172.16.0.5,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:20],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:20],admin,10.0.0.22,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:20],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:20],admin,203.0.113.99,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:21],admin,10.0.0.22,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:21],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:21],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:21],admin,203.0.113.99,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:21],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:22],admin,10.0.0.22,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:22],admin,203.0.113.99,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:22],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:22],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:22],admin,10.0.0.22,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:23],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:23],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:23],admin,192.168.1.10,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:23],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:23],admin,198.51.100.42,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:28:24],admin,172.16.0.5,FAILURE,"""python-requests/2.32.3"""
[2025-04-18 02:38:33],user1,127.0.0.1,SUCCESS,"""Mozilla/5.0"
